Titulo,Autor,Genero,AnoPublicacao,Sinopse,Classificacao
A Culpa é das Estrelas,John Green,Romance,1941,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 180",3.9
O Senhor das Moscas,William Golding,Aventura,1941,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 694,3.3
A Revolução dos Bichos,George Orwell,Fábula,1945,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 233,3.0
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1973,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 433,2.2
O Senhor das Moscas,William Golding,Aventura,1939,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 243,2.8
O Lobo da Estepe,Hermann Hesse,Psicológico,1961,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 503,4.3
A Guerra dos Tronos,George R. R. Martin,Fantasia,1964,"Em um reino medieval, várias famílias brigam pelo poder. Variado 29",4.4
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1960,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 973,1.1
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1911,Uma história filosófica sobre um menino e suas aventuras. Variado 663,4.7
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1978,A jornada de Frodo para destruir o anel poderoso. Variado 943,4.4
O Senhor das Moscas,William Golding,Aventura,1902,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 597,1.7
O Hobbit,J. R. R. Tolkien,Fantasia,1984,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 434,3.0
O Milagre da Manhã,Hal Elrod,Autoajuda,1930,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 289,1.6
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,2001,A jornada de Frodo para destruir o anel poderoso. Variado 325,2.1
A Revolução dos Bichos,George Orwell,Fábula,1995,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 918,1.8
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1996,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 918",1.3
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1966,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 45",2.5
A Culpa é das Estrelas,John Green,Romance,1998,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 754",2.2
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1924,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 773",2.3
O Senhor das Moscas,William Golding,Aventura,1958,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 149,4.6
1984,George Orwell,Distopia,1905,Um regime totalitário vigia tudo e todos. Variado 167,4.2
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,2005,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 457",4.3
A Guerra dos Tronos,George R. R. Martin,Fantasia,1942,"Em um reino medieval, várias famílias brigam pelo poder. Variado 216",2.8
O Milagre da Manhã,Hal Elrod,Autoajuda,1915,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 817,3.5
1984,George Orwell,Distopia,2009,Um regime totalitário vigia tudo e todos. Variado 545,2.6
O Rei Leão,Roger Allers,Infantil,1947,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 213",3.7
O Código Da Vinci,Dan Brown,Mistério,1994,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 100,4.4
O Lobo da Estepe,Hermann Hesse,Psicológico,1988,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 784,3.7
O Senhor das Moscas,William Golding,Aventura,1964,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 535,3.1
A Menina que Roubava Livros,Markus Zusak,Histórico,1980,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 114,3.8
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,2011,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 199,3.6
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1943,A jornada de Frodo para destruir o anel poderoso. Variado 77,4.5
O Milagre da Manhã,Hal Elrod,Autoajuda,1974,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 859,4.8
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1921,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 257",1.7
O Alquimista,Paulo Coelho,Filosofia,1970,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 159,4.7
O Alquimista,Paulo Coelho,Filosofia,1935,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 133,1.4
A Revolução dos Bichos,George Orwell,Fábula,1937,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 874,2.4
O Alquimista,Paulo Coelho,Filosofia,1926,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 967,2.1
O Alquimista,Paulo Coelho,Filosofia,1914,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 626,4.7
A Revolução dos Bichos,George Orwell,Fábula,1940,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 82,1.5
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,2002,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 576",1.2
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1916,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 732,3.3
O Senhor das Moscas,William Golding,Aventura,1910,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 732,1.6
A Arte da Guerra,Sun Tzu,Filosofia,1940,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 468",3.6
O Senhor das Moscas,William Golding,Aventura,1975,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 573,1.3
A Guerra dos Tronos,George R. R. Martin,Fantasia,1913,"Em um reino medieval, várias famílias brigam pelo poder. Variado 379",4.3
A Menina que Roubava Livros,Markus Zusak,Histórico,1974,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 813,4.6
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1955,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 153,2.8
A Guerra dos Tronos,George R. R. Martin,Fantasia,1954,"Em um reino medieval, várias famílias brigam pelo poder. Variado 508",4.6
O Senhor das Moscas,William Golding,Aventura,1913,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 742,3.1
O Alquimista,Paulo Coelho,Filosofia,2004,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 30,3.5
1984,George Orwell,Distopia,1971,Um regime totalitário vigia tudo e todos. Variado 687,3.4
A Arte da Guerra,Sun Tzu,Filosofia,1947,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 49",1.8
A Arte da Guerra,Sun Tzu,Filosofia,1913,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 286",2.3
O Milagre da Manhã,Hal Elrod,Autoajuda,1972,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 307,1.5
O Alquimista,Paulo Coelho,Filosofia,1900,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 521,2.9
O Alquimista,Paulo Coelho,Filosofia,1949,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 182,4.9
O Senhor das Moscas,William Golding,Aventura,1907,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 4,2.6
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,2003,A jornada de Frodo para destruir o anel poderoso. Variado 217,1.9
Dom Quixote,Miguel de Cervantes,Clássico,1934,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 960,3.4
O Código Da Vinci,Dan Brown,Mistério,1973,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 876,1.2
Dom Quixote,Miguel de Cervantes,Clássico,1965,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 730,2.7
A Revolução dos Bichos,George Orwell,Fábula,1976,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 755,1.5
A Guerra dos Tronos,George R. R. Martin,Fantasia,1906,"Em um reino medieval, várias famílias brigam pelo poder. Variado 961",3.2
O Senhor das Moscas,William Golding,Aventura,2017,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 164,1.2
A Menina que Roubava Livros,Markus Zusak,Histórico,2009,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 975,1.9
A Revolução dos Bichos,George Orwell,Fábula,1988,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 207,5.0
A Arte da Guerra,Sun Tzu,Filosofia,1981,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 549",1.2
A Menina que Roubava Livros,Markus Zusak,Histórico,1947,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 368,4.3
A Culpa é das Estrelas,John Green,Romance,2018,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 128",3.6
O Hobbit,J. R. R. Tolkien,Fantasia,1986,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 386,2.5
Dom Quixote,Miguel de Cervantes,Clássico,1979,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 26,1.6
A Arte da Guerra,Sun Tzu,Filosofia,2004,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 23",3.3
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1902,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 595",3.3
A Menina que Roubava Livros,Markus Zusak,Histórico,1980,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 290,1.3
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,2020,Uma história filosófica sobre um menino e suas aventuras. Variado 55,1.7
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1925,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 138",4.4
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1954,Uma história filosófica sobre um menino e suas aventuras. Variado 445,4.6
O Hobbit,J. R. R. Tolkien,Fantasia,2002,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 918,1.2
A Menina que Roubava Livros,Markus Zusak,Histórico,2008,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 932,2.7
A Arte da Guerra,Sun Tzu,Filosofia,1936,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 306",4.7
A Revolução dos Bichos,George Orwell,Fábula,2001,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 72,4.0
O Código Da Vinci,Dan Brown,Mistério,1977,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 906,4.2
A Guerra dos Tronos,George R. R. Martin,Fantasia,1935,"Em um reino medieval, várias famílias brigam pelo poder. Variado 690",4.1
O Hobbit,J. R. R. Tolkien,Fantasia,1907,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 100,2.4
A Revolução dos Bichos,George Orwell,Fábula,2003,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 676,3.4
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1986,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 190,1.7
O Código Da Vinci,Dan Brown,Mistério,1999,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 761,5.0
O Rei Leão,Roger Allers,Infantil,1953,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 646",2.0
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,2020,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 62",3.5
A Menina que Roubava Livros,Markus Zusak,Histórico,1938,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 384,1.5
1984,George Orwell,Distopia,1937,Um regime totalitário vigia tudo e todos. Variado 482,4.3
O Hobbit,J. R. R. Tolkien,Fantasia,1999,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 430,2.1
A Arte da Guerra,Sun Tzu,Filosofia,2005,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 405",3.1
O Hobbit,J. R. R. Tolkien,Fantasia,1939,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 663,1.1
O Código Da Vinci,Dan Brown,Mistério,1964,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 443,4.0
O Hobbit,J. R. R. Tolkien,Fantasia,1936,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 996,2.1
A Guerra dos Tronos,George R. R. Martin,Fantasia,1942,"Em um reino medieval, várias famílias brigam pelo poder. Variado 423",2.4
O Senhor das Moscas,William Golding,Aventura,1955,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 724,3.2
O Senhor das Moscas,William Golding,Aventura,1914,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 444,1.8
A Revolução dos Bichos,George Orwell,Fábula,1942,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 731,4.7
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,2016,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 837,3.0
O Lobo da Estepe,Hermann Hesse,Psicológico,1914,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 191,2.8
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1950,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 200",1.8
A Guerra dos Tronos,George R. R. Martin,Fantasia,1918,"Em um reino medieval, várias famílias brigam pelo poder. Variado 5",4.5
Dom Quixote,Miguel de Cervantes,Clássico,1949,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 526,1.6
O Hobbit,J. R. R. Tolkien,Fantasia,1987,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 179,3.1
O Hobbit,J. R. R. Tolkien,Fantasia,1912,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 865,3.3
O Rei Leão,Roger Allers,Infantil,1998,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 780",1.3
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,2008,Uma história filosófica sobre um menino e suas aventuras. Variado 746,4.1
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1964,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 879,3.9
1984,George Orwell,Distopia,1945,Um regime totalitário vigia tudo e todos. Variado 141,4.4
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,2004,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 879",2.0
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1964,A jornada de Frodo para destruir o anel poderoso. Variado 493,4.1
A Revolução dos Bichos,George Orwell,Fábula,1965,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 321,1.8
O Código Da Vinci,Dan Brown,Mistério,1945,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 91,1.9
O Código Da Vinci,Dan Brown,Mistério,1985,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 817,3.7
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,2024,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 661,4.8
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,2017,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 471",3.3
O Milagre da Manhã,Hal Elrod,Autoajuda,1980,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 911,2.2
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,2013,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 950",3.9
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1969,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 620",3.6
O Hobbit,J. R. R. Tolkien,Fantasia,1936,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 177,2.0
O Rei Leão,Roger Allers,Infantil,2013,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 664",4.7
O Alquimista,Paulo Coelho,Filosofia,1927,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 932,1.3
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1972,A jornada de Frodo para destruir o anel poderoso. Variado 741,1.3
A Revolução dos Bichos,George Orwell,Fábula,1913,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 222,2.4
A Menina que Roubava Livros,Markus Zusak,Histórico,1950,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 280,4.0
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1900,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 951,4.0
O Rei Leão,Roger Allers,Infantil,1928,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 587",4.0
A Revolução dos Bichos,George Orwell,Fábula,1902,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 161,2.9
A Culpa é das Estrelas,John Green,Romance,2011,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 426",3.5
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1978,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 393",1.9
O Senhor das Moscas,William Golding,Aventura,1978,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 794,3.0
A Menina que Roubava Livros,Markus Zusak,Histórico,1909,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 705,1.9
O Lobo da Estepe,Hermann Hesse,Psicológico,1934,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 983,2.0
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,2013,Uma história filosófica sobre um menino e suas aventuras. Variado 915,4.2
O Código Da Vinci,Dan Brown,Mistério,1909,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 866,4.5
O Rei Leão,Roger Allers,Infantil,1949,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 116",2.5
A Guerra dos Tronos,George R. R. Martin,Fantasia,1911,"Em um reino medieval, várias famílias brigam pelo poder. Variado 575",1.7
O Código Da Vinci,Dan Brown,Mistério,2001,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 944,3.3
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,2020,A jornada de Frodo para destruir o anel poderoso. Variado 981,4.7
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1918,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 743,1.3
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1969,Uma história filosófica sobre um menino e suas aventuras. Variado 208,3.7
A Menina que Roubava Livros,Markus Zusak,Histórico,2020,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 272,1.9
O Senhor das Moscas,William Golding,Aventura,1978,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 572,4.7
O Código Da Vinci,Dan Brown,Mistério,1946,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 422,4.3
O Rei Leão,Roger Allers,Infantil,1991,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 119",2.9
Dom Quixote,Miguel de Cervantes,Clássico,1931,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 765,2.9
O Senhor das Moscas,William Golding,Aventura,2010,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 661,3.6
A Revolução dos Bichos,George Orwell,Fábula,2012,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 473,4.5
O Código Da Vinci,Dan Brown,Mistério,1924,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 220,2.8
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1966,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 635,3.6
A Revolução dos Bichos,George Orwell,Fábula,1942,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 371,2.4
A Revolução dos Bichos,George Orwell,Fábula,1901,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 146,1.7
A Revolução dos Bichos,George Orwell,Fábula,2018,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 900,4.5
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,2016,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 777,3.6
1984,George Orwell,Distopia,1998,Um regime totalitário vigia tudo e todos. Variado 330,2.9
O Hobbit,J. R. R. Tolkien,Fantasia,1926,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 182,3.8
O Alquimista,Paulo Coelho,Filosofia,1998,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 230,3.8
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1979,Uma história filosófica sobre um menino e suas aventuras. Variado 735,3.3
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1997,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 626,1.7
O Rei Leão,Roger Allers,Infantil,1954,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 508",1.8
1984,George Orwell,Distopia,1928,Um regime totalitário vigia tudo e todos. Variado 422,3.8
A Menina que Roubava Livros,Markus Zusak,Histórico,1965,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 930,3.5
O Alquimista,Paulo Coelho,Filosofia,1912,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 126,4.7
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1931,A jornada de Frodo para destruir o anel poderoso. Variado 254,2.8
O Código Da Vinci,Dan Brown,Mistério,1999,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 454,3.5
A Revolução dos Bichos,George Orwell,Fábula,1993,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 353,2.7
O Rei Leão,Roger Allers,Infantil,1923,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 311",4.0
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1947,A jornada de Frodo para destruir o anel poderoso. Variado 950,1.7
O Rei Leão,Roger Allers,Infantil,1914,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 616",2.3
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,2000,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 628",2.6
O Hobbit,J. R. R. Tolkien,Fantasia,1951,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 963,1.2
A Guerra dos Tronos,George R. R. Martin,Fantasia,1965,"Em um reino medieval, várias famílias brigam pelo poder. Variado 986",1.1
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,2004,Uma história filosófica sobre um menino e suas aventuras. Variado 677,1.3
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,2006,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 365,1.7
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1952,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 548",3.2
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1912,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 824",3.9
O Rei Leão,Roger Allers,Infantil,1938,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 688",3.7
O Lobo da Estepe,Hermann Hesse,Psicológico,1988,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 736,3.4
O Lobo da Estepe,Hermann Hesse,Psicológico,1931,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 805,4.9
O Milagre da Manhã,Hal Elrod,Autoajuda,1938,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 558,3.3
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1912,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 201,1.4
O Rei Leão,Roger Allers,Infantil,1986,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 929",1.7
A Arte da Guerra,Sun Tzu,Filosofia,1949,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 405",1.6
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1922,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 348",2.2
O Código Da Vinci,Dan Brown,Mistério,1937,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 865,1.3
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1987,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 463",1.8
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1999,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 256",2.2
O Lobo da Estepe,Hermann Hesse,Psicológico,1905,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 992,1.3
O Senhor das Moscas,William Golding,Aventura,1902,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 947,2.8
O Lobo da Estepe,Hermann Hesse,Psicológico,1985,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 764,3.0
O Rei Leão,Roger Allers,Infantil,1949,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 840",3.5
O Alquimista,Paulo Coelho,Filosofia,1957,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 915,3.2
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1950,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 784",1.4
O Código Da Vinci,Dan Brown,Mistério,1911,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 467,3.1
A Arte da Guerra,Sun Tzu,Filosofia,2002,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 39",2.6
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,2013,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 828",2.8
A Guerra dos Tronos,George R. R. Martin,Fantasia,1993,"Em um reino medieval, várias famílias brigam pelo poder. Variado 465",4.7
A Culpa é das Estrelas,John Green,Romance,1964,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 526",1.4
1984,George Orwell,Distopia,1982,Um regime totalitário vigia tudo e todos. Variado 159,1.2
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1916,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 43",2.9
O Milagre da Manhã,Hal Elrod,Autoajuda,1974,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 74,1.3
O Hobbit,J. R. R. Tolkien,Fantasia,1977,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 795,3.3
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1971,A jornada de Frodo para destruir o anel poderoso. Variado 496,3.1
O Lobo da Estepe,Hermann Hesse,Psicológico,2014,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 912,2.2
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1955,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 357",2.0
A Arte da Guerra,Sun Tzu,Filosofia,2009,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 662",1.4
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1965,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 549,3.9
A Revolução dos Bichos,George Orwell,Fábula,1969,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 988,2.0
