Titulo,Autor,Genero,AnoPublicacao,Sinopse,Classificacao
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1990,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 545,4.7
O Lobo da Estepe,Hermann Hesse,Psicológico,1951,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 57,1.2
1984,George Orwell,Distopia,2004,Um regime totalitário vigia tudo e todos. Variado 539,4.4
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1925,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 901,3.6
O Lobo da Estepe,Hermann Hesse,Psicológico,1970,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 790,2.4
O Hobbit,J. R. R. Tolkien,Fantasia,2023,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 119,4.4
O Milagre da Manhã,Hal Elrod,Autoajuda,1988,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 122,2.8
A Menina que Roubava Livros,Markus Zusak,Histórico,1997,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 245,1.2
O Lobo da Estepe,Hermann Hesse,Psicológico,1977,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 147,5.0
O Hobbit,J. R. R. Tolkien,Fantasia,1906,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 384,1.4
O Senhor das Moscas,William Golding,Aventura,1994,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 79,3.1
1984,George Orwell,Distopia,1977,Um regime totalitário vigia tudo e todos. Variado 512,3.0
A Revolução dos Bichos,George Orwell,Fábula,1968,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 216,1.5
O Hobbit,J. R. R. Tolkien,Fantasia,1931,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 195,3.3
O Rei Leão,Roger Allers,Infantil,1912,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 280",1.9
A Menina que Roubava Livros,Markus Zusak,Histórico,1969,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 463,2.7
O Senhor das Moscas,William Golding,Aventura,2016,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 315,1.3
A Menina que Roubava Livros,Markus Zusak,Histórico,1970,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 969,4.9
A Revolução dos Bichos,George Orwell,Fábula,1992,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 758,3.5
A Guerra dos Tronos,George R. R. Martin,Fantasia,1916,"Em um reino medieval, várias famílias brigam pelo poder. Variado 136",4.1
A Guerra dos Tronos,George R. R. Martin,Fantasia,1917,"Em um reino medieval, várias famílias brigam pelo poder. Variado 171",4.8
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,2001,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 107,3.2
O Código Da Vinci,Dan Brown,Mistério,2017,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 763,3.8
O Lobo da Estepe,Hermann Hesse,Psicológico,1912,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 378,4.9
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1907,A jornada de Frodo para destruir o anel poderoso. Variado 612,3.9
A Culpa é das Estrelas,John Green,Romance,2001,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 743",2.0
O Hobbit,J. R. R. Tolkien,Fantasia,1989,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 741,4.4
A Arte da Guerra,Sun Tzu,Filosofia,1941,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 895",4.3
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,2014,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 303,4.5
Dom Quixote,Miguel de Cervantes,Clássico,1974,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 868,4.0
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1944,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 562",4.8
O Lobo da Estepe,Hermann Hesse,Psicológico,1918,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 419,3.9
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1912,Uma história filosófica sobre um menino e suas aventuras. Variado 578,3.5
O Hobbit,J. R. R. Tolkien,Fantasia,1912,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 577,1.5
A Arte da Guerra,Sun Tzu,Filosofia,1989,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 271",1.1
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1943,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 766,4.8
O Senhor das Moscas,William Golding,Aventura,1921,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 619,2.2
O Alquimista,Paulo Coelho,Filosofia,1908,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 964,2.6
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1936,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 421",1.7
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,2002,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 576",1.2
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1912,A jornada de Frodo para destruir o anel poderoso. Variado 541,4.3
O Senhor das Moscas,William Golding,Aventura,1986,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 991,1.0
O Lobo da Estepe,Hermann Hesse,Psicológico,1956,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 454,3.3
Dom Quixote,Miguel de Cervantes,Clássico,2008,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 738,2.0
Dom Quixote,Miguel de Cervantes,Clássico,1901,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 841,2.9
A Guerra dos Tronos,George R. R. Martin,Fantasia,1916,"Em um reino medieval, várias famílias brigam pelo poder. Variado 523",1.9
A Guerra dos Tronos,George R. R. Martin,Fantasia,1918,"Em um reino medieval, várias famílias brigam pelo poder. Variado 24",3.7
O Milagre da Manhã,Hal Elrod,Autoajuda,1938,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 558,3.3
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1939,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 19",2.5
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1916,A jornada de Frodo para destruir o anel poderoso. Variado 290,2.2
O Hobbit,J. R. R. Tolkien,Fantasia,1998,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 549,4.3
O Lobo da Estepe,Hermann Hesse,Psicológico,1962,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 281,1.3
O Rei Leão,Roger Allers,Infantil,1939,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 505",1.8
A Guerra dos Tronos,George R. R. Martin,Fantasia,1918,"Em um reino medieval, várias famílias brigam pelo poder. Variado 5",4.5
O Código Da Vinci,Dan Brown,Mistério,1982,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 168,2.0
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1973,Uma história filosófica sobre um menino e suas aventuras. Variado 504,4.9
O Senhor das Moscas,William Golding,Aventura,1927,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 966,3.8
A Arte da Guerra,Sun Tzu,Filosofia,1979,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 425",1.9
O Hobbit,J. R. R. Tolkien,Fantasia,1937,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 251,1.8
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1908,A jornada de Frodo para destruir o anel poderoso. Variado 974,3.1
O Senhor das Moscas,William Golding,Aventura,2003,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 250,2.6
O Senhor das Moscas,William Golding,Aventura,1912,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 974,4.4
O Rei Leão,Roger Allers,Infantil,1908,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 810",3.5
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1965,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 648",2.0
1984,George Orwell,Distopia,1964,Um regime totalitário vigia tudo e todos. Variado 320,1.1
O Código Da Vinci,Dan Brown,Mistério,1996,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 519,4.6
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1951,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 424,3.2
A Revolução dos Bichos,George Orwell,Fábula,1918,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 440,1.5
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1921,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 491,1.6
O Hobbit,J. R. R. Tolkien,Fantasia,1923,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 476,2.3
O Alquimista,Paulo Coelho,Filosofia,1915,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 224,2.0
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1906,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 58",3.8
O Código Da Vinci,Dan Brown,Mistério,1982,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 27,3.0
O Milagre da Manhã,Hal Elrod,Autoajuda,1991,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 759,1.1
O Rei Leão,Roger Allers,Infantil,1901,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 84",4.2
O Lobo da Estepe,Hermann Hesse,Psicológico,2019,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 307,3.2
1984,George Orwell,Distopia,1996,Um regime totalitário vigia tudo e todos. Variado 297,4.9
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1909,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 572,2.9
A Guerra dos Tronos,George R. R. Martin,Fantasia,1980,"Em um reino medieval, várias famílias brigam pelo poder. Variado 294",1.8
A Culpa é das Estrelas,John Green,Romance,1971,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 169",4.8
A Revolução dos Bichos,George Orwell,Fábula,1934,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 296,2.3
O Senhor das Moscas,William Golding,Aventura,1969,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 523,2.4
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1944,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 282,2.9
O Lobo da Estepe,Hermann Hesse,Psicológico,2014,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 912,2.2
A Arte da Guerra,Sun Tzu,Filosofia,2019,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 383",3.9
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1952,A jornada de Frodo para destruir o anel poderoso. Variado 579,2.2
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,2016,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 46,4.3
A Arte da Guerra,Sun Tzu,Filosofia,1914,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 323",1.7
O Senhor das Moscas,William Golding,Aventura,1955,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 724,3.2
A Menina que Roubava Livros,Markus Zusak,Histórico,1921,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 24,1.4
A Culpa é das Estrelas,John Green,Romance,2018,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 796",2.3
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1965,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 55,1.1
A Culpa é das Estrelas,John Green,Romance,1967,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 187",4.8
O Hobbit,J. R. R. Tolkien,Fantasia,2021,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 954,1.0
O Hobbit,J. R. R. Tolkien,Fantasia,2010,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 653,4.5
A Guerra dos Tronos,George R. R. Martin,Fantasia,1965,"Em um reino medieval, várias famílias brigam pelo poder. Variado 986",1.1
O Alquimista,Paulo Coelho,Filosofia,1971,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 55,1.8
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1969,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 187",1.3
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,2021,A jornada de Frodo para destruir o anel poderoso. Variado 318,4.3
O Milagre da Manhã,Hal Elrod,Autoajuda,1933,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 910,2.5
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1909,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 849",3.6
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1956,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 825",3.0
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1936,A jornada de Frodo para destruir o anel poderoso. Variado 333,2.7
A Guerra dos Tronos,George R. R. Martin,Fantasia,1982,"Em um reino medieval, várias famílias brigam pelo poder. Variado 335",2.0
A Guerra dos Tronos,George R. R. Martin,Fantasia,2002,"Em um reino medieval, várias famílias brigam pelo poder. Variado 461",2.6
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1951,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 649,3.7
O Lobo da Estepe,Hermann Hesse,Psicológico,2005,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 370,1.3
A Culpa é das Estrelas,John Green,Romance,1931,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 731",2.4
O Hobbit,J. R. R. Tolkien,Fantasia,1926,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 644,1.5
1984,George Orwell,Distopia,1912,Um regime totalitário vigia tudo e todos. Variado 951,4.6
O Senhor das Moscas,William Golding,Aventura,1918,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 340,3.9
O Senhor das Moscas,William Golding,Aventura,2020,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 170,1.2
A Revolução dos Bichos,George Orwell,Fábula,1990,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 323,2.7
A Revolução dos Bichos,George Orwell,Fábula,1907,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 921,3.1
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1971,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 818,4.8
Dom Quixote,Miguel de Cervantes,Clássico,1907,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 694,4.0
O Código Da Vinci,Dan Brown,Mistério,1955,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 751,4.3
A Culpa é das Estrelas,John Green,Romance,1961,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 292",3.6
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1971,Uma história filosófica sobre um menino e suas aventuras. Variado 866,3.2
O Código Da Vinci,Dan Brown,Mistério,2005,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 414,3.7
A Revolução dos Bichos,George Orwell,Fábula,2003,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 867,1.7
Dom Quixote,Miguel de Cervantes,Clássico,1982,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 660,4.1
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1923,A jornada de Frodo para destruir o anel poderoso. Variado 878,3.5
O Alquimista,Paulo Coelho,Filosofia,2019,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 282,1.3
Dom Quixote,Miguel de Cervantes,Clássico,2022,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 912,1.5
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1931,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 340,3.3
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1939,A jornada de Frodo para destruir o anel poderoso. Variado 245,3.2
A Menina que Roubava Livros,Markus Zusak,Histórico,1935,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 899,3.1
A Arte da Guerra,Sun Tzu,Filosofia,2002,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 16",3.5
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1940,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 212,2.8
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1967,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 512",1.2
O Alquimista,Paulo Coelho,Filosofia,1965,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 754,1.1
O Senhor das Moscas,William Golding,Aventura,1995,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 852,4.2
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1921,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 978",1.8
O Código Da Vinci,Dan Brown,Mistério,1977,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 304,3.1
O Senhor das Moscas,William Golding,Aventura,1989,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 896,3.8
A Revolução dos Bichos,George Orwell,Fábula,2002,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 576,3.4
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1988,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 395",4.0
A Culpa é das Estrelas,John Green,Romance,1955,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 166",2.4
O Senhor das Moscas,William Golding,Aventura,1992,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 24,1.5
A Menina que Roubava Livros,Markus Zusak,Histórico,1915,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 561,1.9
O Milagre da Manhã,Hal Elrod,Autoajuda,1904,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 749,2.6
O Rei Leão,Roger Allers,Infantil,1992,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 856",3.4
A Arte da Guerra,Sun Tzu,Filosofia,2002,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 505",2.3
A Menina que Roubava Livros,Markus Zusak,Histórico,1923,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 769,4.8
O Lobo da Estepe,Hermann Hesse,Psicológico,1939,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 427,1.9
A Culpa é das Estrelas,John Green,Romance,2003,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 418",4.3
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,2012,A jornada de Frodo para destruir o anel poderoso. Variado 651,4.9
O Código Da Vinci,Dan Brown,Mistério,1986,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 149,4.7
A Arte da Guerra,Sun Tzu,Filosofia,1945,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 875",2.2
O Lobo da Estepe,Hermann Hesse,Psicológico,1911,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 664,4.5
A Arte da Guerra,Sun Tzu,Filosofia,1949,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 828",3.0
A Revolução dos Bichos,George Orwell,Fábula,1987,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 262,3.4
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,2009,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 41,4.5
A Culpa é das Estrelas,John Green,Romance,1951,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 325",3.7
O Rei Leão,Roger Allers,Infantil,1909,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 345",1.5
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1913,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 830,3.2
A Menina que Roubava Livros,Markus Zusak,Histórico,1947,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 739,1.4
O Milagre da Manhã,Hal Elrod,Autoajuda,1963,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 638,2.7
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1904,A jornada de Frodo para destruir o anel poderoso. Variado 74,4.3
O Senhor das Moscas,William Golding,Aventura,2013,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 950,4.2
O Senhor das Moscas,William Golding,Aventura,1964,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 535,3.1
O Hobbit,J. R. R. Tolkien,Fantasia,2007,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 957,3.4
Dom Quixote,Miguel de Cervantes,Clássico,1924,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 429,3.2
O Código Da Vinci,Dan Brown,Mistério,1954,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 106,3.7
A Culpa é das Estrelas,John Green,Romance,1911,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 437",2.9
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1901,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 411",4.3
O Lobo da Estepe,Hermann Hesse,Psicológico,1973,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 951,4.7
O Milagre da Manhã,Hal Elrod,Autoajuda,2006,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 143,3.7
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1981,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 751,4.5
A Culpa é das Estrelas,John Green,Romance,1940,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 249",2.6
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,2016,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 702,3.0
1984,George Orwell,Distopia,1935,Um regime totalitário vigia tudo e todos. Variado 279,4.2
O Hobbit,J. R. R. Tolkien,Fantasia,1937,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 785,3.4
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,2008,Uma história filosófica sobre um menino e suas aventuras. Variado 7,2.5
O Hobbit,J. R. R. Tolkien,Fantasia,1907,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 478,4.9
A Menina que Roubava Livros,Markus Zusak,Histórico,1978,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 270,1.2
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1918,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 672",3.1
A Menina que Roubava Livros,Markus Zusak,Histórico,1910,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 829,2.6
A Menina que Roubava Livros,Markus Zusak,Histórico,1980,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 114,3.8
O Código Da Vinci,Dan Brown,Mistério,2017,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 329,4.2
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,2011,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 722",1.3
O Senhor das Moscas,William Golding,Aventura,1998,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 491,2.7
A Menina que Roubava Livros,Markus Zusak,Histórico,1900,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 493,3.1
A Revolução dos Bichos,George Orwell,Fábula,1920,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 322,2.1
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1954,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 8,1.9
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1941,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 185,3.2
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1994,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 920,4.4
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1922,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 991",1.5
O Hobbit,J. R. R. Tolkien,Fantasia,1988,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 690,2.8
1984,George Orwell,Distopia,1952,Um regime totalitário vigia tudo e todos. Variado 875,2.1
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1935,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 716",2.5
A Guerra dos Tronos,George R. R. Martin,Fantasia,2009,"Em um reino medieval, várias famílias brigam pelo poder. Variado 383",1.5
O Senhor das Moscas,William Golding,Aventura,1934,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 302,1.6
Dom Quixote,Miguel de Cervantes,Clássico,2007,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 704,1.9
A Culpa é das Estrelas,John Green,Romance,1942,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 14",4.1
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1961,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 88",3.4
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,2005,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 283",1.4
O Código Da Vinci,Dan Brown,Mistério,1979,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 563,3.6
A Revolução dos Bichos,George Orwell,Fábula,2018,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 653,4.8
Dom Quixote,Miguel de Cervantes,Clássico,1991,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 706,3.5
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1930,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 599",1.6
O Alquimista,Paulo Coelho,Filosofia,1915,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 448,1.2
A Arte da Guerra,Sun Tzu,Filosofia,1953,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 989",2.0
O Milagre da Manhã,Hal Elrod,Autoajuda,1978,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 961,3.5
A Culpa é das Estrelas,John Green,Romance,1903,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 574",3.3
A Guerra dos Tronos,George R. R. Martin,Fantasia,2020,"Em um reino medieval, várias famílias brigam pelo poder. Variado 534",4.6
Dom Quixote,Miguel de Cervantes,Clássico,1970,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 369,4.4
